Year,Age,Count
2009,Under 18,710000
2009,18-24,890000
2009,25-34,2270000
2009,35-44,1630000
2009,45-54,530000
2009,55 and over,160000
2010,Under 18,650000
2010,18-24,820000
2010,25-34,2300000
2010,35-44,1680000
2010,45-54,510000
2010,55 and over,190000
2011,Under 18,700000
2011,18-24,1000000
2011,25-34,2070000
2011,35-44,1600000
2011,45-54,580000
2011,55 and over,180000
2012,Under 18,580000
2012,18-24,880000
2012,25-34,2050000
2012,35-44,1750000
2012,45-54,650000
2012,55 and over,190000
2014,Under 18,530000
2014,18-24,730000
2014,25-34,2070000
2014,35-44,1960000
2014,45-54,820000
2014,55 and over,290000
2015,Under 18,600000
2015,18-24,680000
2015,25-34,1960000
2015,35-44,1800000
2015,45-54,780000
2015,55 and over,190000
2016,Under 18,540000
2016,18-24,600000
2016,25-34,1880000
2016,35-44,1940000
2016,45-54,880000
2016,55 and over,310000
2017,Under 18,550000
2017,18-24,530000
2017,25-34,1720000
2017,35-44,1890000
2017,45-54,930000
2017,55 and over,300000
2018,Under 18,570000
2018,18-24,550000
2018,25-34,1590000
2018,35-44,1890000
2018,45-54,1040000
2018,55 and over,380000
2019,Under 18,550000
2019,18-24,480000
2019,25-34,1500000
2019,35-44,1840000
2019,45-54,1060000
2019,55 and over,350000
2020,Under 18,540000
2020,18-24,460000
2020,25-34,1290000
2020,35-44,1770000
2020,45-54,1090000
2020,55 and over,370000
2022,Under 18,630000
2022,18-24,410000
2022,25-34,1140000
2022,35-44,1850000
2022,45-54,1320000
2022,55 and over,610000
