Category_Value,Data_Year,Count,Category_Type
Mexico,2000,4680000.0,Country
Guatemala,2000,290000.0,Country
El Salvador,2000,430000.0,Country
Honduras,2000,160000.0,Country
Philippines,2000,200000.0,Country
Venezuela,2000,,Country
Colombia,2000,100000.0,Country
Brazil,2000,100000.0,Country
India,2000,120000.0,Country
China,2000,190000.0,Country
All others,2000,2180000.0,Country
Mexico,2005,5970000.0,Country
Guatemala,2005,370000.0,Country
El Salvador,2005,470000.0,Country
Honduras,2005,180000.0,Country
Philippines,2005,210000.0,Country
Venezuela,2005,,Country
Colombia,2005,110000.0,Country
Brazil,2005,170000.0,Country
India,2005,280000.0,Country
China,2005,230000.0,Country
All others,2005,2500000.0,Country
Mexico,2006,6570000.0,Country
Guatemala,2006,430000.0,Country
El Salvador,2006,510000.0,Country
Honduras,2006,280000.0,Country
Philippines,2006,280000.0,Country
Venezuela,2006,,Country
Colombia,2006,140000.0,Country
Brazil,2006,210000.0,Country
India,2006,210000.0,Country
China,2006,170000.0,Country
All others,2006,2510000.0,Country
Mexico,2007,6980000.0,Country
Guatemala,2007,500000.0,Country
El Salvador,2007,540000.0,Country
Honduras,2007,280000.0,Country
Philippines,2007,290000.0,Country
Venezuela,2007,60000.0,Country
Colombia,2007,130000.0,Country
Brazil,2007,190000.0,Country
India,2007,220000.0,Country
China,2007,290000.0,Country
All others,2007,2290000.0,Country
Mexico,2008,7030000.0,Country
Guatemala,2008,430000.0,Country
El Salvador,2008,570000.0,Country
Honduras,2008,300000.0,Country
Philippines,2008,300000.0,Country
Venezuela,2008,50000.0,Country
Colombia,2008,130000.0,Country
Brazil,2008,180000.0,Country
India,2008,160000.0,Country
China,2008,220000.0,Country
All others,2008,2240000.0,Country
Mexico,2009,6650000.0,Country
Guatemala,2009,480000.0,Country
El Salvador,2009,530000.0,Country
Honduras,2009,320000.0,Country
Philippines,2009,270000.0,Country
Venezuela,2009,50000.0,Country
Colombia,2009,100000.0,Country
Brazil,2009,150000.0,Country
India,2009,200000.0,Country
China,2009,120000.0,Country
All others,2009,1880000.0,Country
Mexico,2010,6640000.0,Country
Guatemala,2010,520000.0,Country
