Category_Value,Data_Year,Count,Category_Type
All Unauthorized Immigrants,2000,8460000.0,Total
All Unauthorized Immigrants,2005,10490000.0,Total
All Unauthorized Immigrants,2006,11310000.0,Total
All Unauthorized Immigrants,2007,11780000.0,Total
All Unauthorized Immigrants,2008,11600000.0,Total
All Unauthorized Immigrants,2009,10750000.0,Total
All Unauthorized Immigrants,2010,10790000.0,Total
All Unauthorized Immigrants,2010,11590000.0,Total
All Unauthorized Immigrants,2011,11510000.0,Total
All Unauthorized Immigrants,2012,11430000.0,Total
All Unauthorized Immigrants,2013,11210000.0,Total
All Unauthorized Immigrants,2014,11460000.0,Total
All Unauthorized Immigrants,2015,11960000.0,Total
All Unauthorized Immigrants,2015,11440000.0,Total
All Unauthorized Immigrants,2016,11750000.0,Total
All Unauthorized Immigrants,2017,11410000.0,Total
All Unauthorized Immigrants,2018,11390000.0,Total
All Unauthorized Immigrants,2018,11570000.0,Total
All Unauthorized Immigrants,2019,11110000.0,Total
All Unauthorized Immigrants,2020,10510000.0,Total
All Unauthorized Immigrants,2022,10990000.0,Total
